on x=-48..-2,y=-16..31,z=-3..41
on x=2702..14217,y=-2069..28865,z=60850..79918
on x=-61657..-48304,y=-68240..-40494,z=-45378..-14487
on x=625..14980,y=-92050..-69156,z=12668..27822
on x=64973..90345,y=-28144..3863,z=-28324..-9757
on x=-83167..-49702,y=39550..54275,z=-32390..-5348
on x=25432..47610,y=-56266..-31553,z=35530..66102
on x=-78368..-59388,y=10480..26009,z=-22763..-2245
on x=63334..90108,y=-31399..3047,z=-20574..-13017
on x=20807..46527,y=4683..9400,z=-81955..-54843
on x=39685..67181,y=-45909..-43156,z=-41510..-20371
on x=-46802..-23434,y=-28785..-14277,z=-81590..-53718
on x=-16428..-8422,y=-79052..-70934,z=15653..41373
on x=-49954..-41592,y=55676..76957,z=-52967..-28737
on x=50385..67207,y=-13550..-2480,z=41774..58334
on x=-51021..-31047,y=39621..72692,z=20744..46049
on x=59740..92782,y=-6133..14044,z=14491..34408
on x=-41207..-10041,y=-5924..28180,z=64070..93258
on x=-62231..-30513,y=-83603..-47266,z=-4787..22885
on x=1070..34201,y=64937..79407,z=28291..34462
on x=-11191..14287,y=58955..77328,z=21084..39790
on x=-69923..-44518,y=-46097..-21658,z=33133..54325
on x=-34539..-26318,y=-56283..-52789,z=40763..60970
on x=12760..44179,y=-55416..-31618,z=-71927..-46131
on x=-66214..-50923,y=-66333..-37736,z=-20045..12732
on x=51071..61694,y=25936..48869,z=27241..41382
on x=51001..58054,y=-49210..-23446,z=-63370..-32124
on x=-57908..-32075,y=-15027..12311,z=-75825..-62192
on x=-77361..-48267,y=-6967..27512,z=-58447..-34211
on x=68889..88412,y=-44833..-21288,z=-9865..17727
on x=5904..23560,y=-78498..-50240,z=33898..40182
on x=-53735..-18402,y=-30365..5221,z=-86607..-69134
on x=-59813..-37900,y=57140..73794,z=-2385..22002
on x=20248..39842,y=-48864..-36495,z=52554..74679
on x=-16171..16454,y=-95339..-76511,z=-22008..11531
on x=4309..23575,y=-71858..-58971,z=-49016..-25017
on x=-87593..-58028,y=13611..26024,z=-5298..-3328
on x=-72108..-61539,y=22631..54363,z=-44265..-26252
on x=9624..23990,y=75949..87070,z=-18455..1793
on x=11884..27384,y=-60705..-49277,z=38086..70368
on x=20370..24724,y=-62269..-45688,z=36041..55228
on x=-39658..-20520,y=60866..81756,z=29395..48479
on x=-74597..-61848,y=-49807..-32057,z=-37400..-12470
on x=12972..39487,y=-87239..-55171,z=18838..20972
on x=-29678..-19000,y=-80859..-58650,z=1373..20150
on x=-58631..-27968,y=-59966..-49542,z=-43338..-42857
on x=-36898..-21107,y=-78477..-64395,z=14819..46453
on x=10889..22584,y=8454..18458,z=-80049..-64437
on x=48762..53190,y=-53835..-31946,z=-43823..-25537
on x=-50116..-32956,y=-74427..-40913,z=14461..34479
on x=-89490..-58577,y=25186..37133,z=1535..23465
on x=-50360..-24753,y=-73301..-48508,z=19506..34352
on x=64146..76273,y=10605..20175,z=18294..33296
on x=30312..52012,y=36828..49633,z=-60731..-45395
on x=29306..47965,y=-76585..-52227,z=23291..49509
on x=42905..67553,y=2356..40555,z=37600..49345
on x=64488..77741,y=10459..33079,z=13072..32535
on x=-89999..-69356,y=-27245..-6361,z=-10285..12879
on x=42243..79315,y=-50646..-29898,z=8435..23493
on x=22756..41460,y=61689..77279,z=-22206..-8874
on x=-67284..-43997,y=-10786..14371,z=47360..65891
on x=24677..46095,y=-85442..-46723,z=14247..38905
on x=-75660..-56037,y=5852..17880,z=17210..45730
on x=43402..53967,y=-6053..6923,z=49027..69959
on x=38606..57870,y=-2624..8132,z=-88748..-61500
on x=-61804..-44077,y=-39109..-11100,z=35059..68818
on x=-16067..6454,y=-38197..-31442,z=-90721..-64552
on x=-39124..-17473,y=-73561..-62771,z=-41455..-17853
on x=-14098..12140,y=-44246..-18234,z=58570..89035
on x=-1081..20013,y=73506..92432,z=-2337..28197
on x=-16139..-10086,y=62764..80289,z=-35639..-20784
on x=-91656..-66754,y=19902..31704,z=6067..11788
on x=-56502..-50047,y=-65837..-50367,z=-4203..28928
on x=-63951..-34509,y=-81652..-47513,z=-3660..14464
on x=-39640..-33926,y=45432..83402,z=-33198..-16657
on x=-78636..-54969,y=-17657..7429,z=-51819..-23396
on x=-6080..2861,y=52733..58066,z=48764..69035
on x=-76457..-64151,y=21989..50216,z=5922..10207
on x=-77156..-60682,y=20870..51047,z=-17255..18087
on x=-73253..-55378,y=-27749..7766,z=23787..50449
on x=48958..71249,y=-20119..-11098,z=38657..64286
on x=33162..45351,y=-70076..-48475,z=-31532..-4606
on x=64897..92915,y=2505..24543,z=-19054..4740
on x=-87818..-51228,y=32089..50602,z=-9048..9402
on x=-97739..-69566,y=-15999..-3190,z=15206..25679
on x=-76692..-52950,y=12749..23749,z=-33443..-28702
on x=1731..13676,y=-75745..-39856,z=-72515..-45068
on x=-45410..-27367,y=-63179..-43240,z=43819..53642
on x=-25114..-8366,y=-39036..-17417,z=-80518..-70214
on x=-55501..-26620,y=31241..46029,z=52576..62536
on x=-13868..6258,y=-80408..-52822,z=-57178..-27005
on x=-8194..6577,y=-85824..-63315,z=41027..54495
on x=-84924..-61235,y=-33476..-27685,z=3974..35969
on x=53219..81871,y=31225..45456,z=-16857..11005
on x=39964..75979,y=18066..53059,z=33251..50853
on x=-42633..-35217,y=2465..19133,z=-85507..-63720
on x=-75081..-65362,y=-45532..-18117,z=1586..21420
on x=75000..87110,y=-40655..-11069,z=-10207..8808
on x=61703..98335,y=-23359..-4884,z=4899..24781
on x=49009..72737,y=15695..32898,z=-50908..-36893
on x=-48349..-27892,y=-35921..-7098,z=-86808..-57068
on x=-93773..-72315,y=-25299..-12743,z=-4267..21237
on x=-34194..-7799,y=-80407..-70077,z=11617..25969
on x=14806..40240,y=13986..39570,z=-76089..-58807
on x=-14100..-4434,y=-78383..-58823,z=-37166..-2645
on x=4594..19487,y=61939..94701,z=-11756..10897
on x=19278..42206,y=2776..38591,z=-74173..-67619
on x=8616..29339,y=-34478..3087,z=-76610..-53978
on x=38367..60797,y=51991..77004,z=-8032..8914
on x=20167..24980,y=-47473..-25594,z=56634..70386
on x=-14326..379,y=62089..86788,z=3143..33999
on x=-12116..12062,y=-79900..-63484,z=29943..44614
on x=-60760..-38941,y=57311..72919,z=21750..34010
on x=-58396..-24850,y=-68796..-58004,z=6578..16150
on x=-32262..-2380,y=-21984..9750,z=-90129..-59237
on x=28304..51727,y=42370..53269,z=-52826..-37443
on x=9020..24798,y=12913..48388,z=53775..74354
on x=22397..48806,y=53576..77502,z=20276..32365
on x=12417..30180,y=-78104..-68267,z=-35528..-17683
on x=55796..67940,y=28590..48571,z=23949..46629
on x=11404..37929,y=37715..50885,z=-61245..-53182
on x=-69470..-49850,y=14539..23397,z=31715..54011
on x=-23599..-3054,y=-90916..-59424,z=-18309..-9278
on x=67632..77521,y=-33161..-10966,z=9692..32501
on x=-34446..-12591,y=-75082..-44494,z=44646..61406
on x=-12844..-6018,y=9359..29515,z=68941..81358
on x=61402..79819,y=-45149..-22083,z=-29133..-3707
on x=-94433..-65565,y=-27372..-16935,z=-10179..6713
on x=-18831..8423,y=40879..75990,z=-68177..-43261
on x=53195..74377,y=-54508..-33941,z=-28668..-6944
on x=-21125..3990,y=-91602..-64659,z=-43486..-14799
on x=-8760..-1142,y=-59145..-46830,z=52997..74836
on x=-81386..-60556,y=9899..39740,z=7196..22663
on x=41800..56949,y=-42033..-26009,z=-67005..-29370
on x=-55237..-39195,y=-78170..-61792,z=-6640..9993
off x=-52583..-22600,y=43425..59844,z=-41751..-35976
on x=-81285..-58882,y=-16509..12741,z=41293..59480
on x=66726..73764,y=21190..41519,z=18448..46337
on x=27742..35180,y=31788..58371,z=54231..71154
off x=38833..55587,y=-1026..25751,z=-65900..-61236
off x=25167..45620,y=30823..35856,z=-75749..-61799
on x=9750..23924,y=61642..88914,z=-40145..-26662
off x=-39123..-19930,y=6886..13398,z=-72029..-63122
off x=-18838..-12425,y=-51139..-36908,z=46777..70332
on x=-14340..1078,y=-83179..-61896,z=-45635..-32140
on x=21480..33356,y=-58512..-34642,z=-58371..-49160
on x=62435..80449,y=22043..49827,z=3914..35785
off x=-44619..-33166,y=-64741..-56493,z=-59433..-27584
on x=-67263..-47426,y=18372..50910,z=46105..64690
off x=72866..93402,y=-20822..1403,z=-18765..5346
off x=61001..68301,y=-7575..8389,z=-60514..-34872
off x=-13128..6107,y=-75649..-66355,z=40649..58219
off x=32810..54528,y=40192..74223,z=-61227..-30251
on x=-16138..1953,y=62902..69919,z=-53902..-30376
off x=2437..10501,y=-80142..-77409,z=1982..17665
on x=50186..67586,y=-4669..20700,z=-69214..-30349
on x=26579..44514,y=50331..71112,z=-53569..-32177
off x=-9012..1692,y=78853..93700,z=-9628..10849
on x=-82565..-56192,y=-13170..19878,z=28959..33034
off x=60322..74131,y=1512..32246,z=30123..39935
off x=55475..69216,y=-26757..2156,z=-47022..-35244
off x=-9879..1560,y=67301..80999,z=33117..42836
off x=-52830..-30771,y=-65385..-50426,z=8376..33444
on x=-2069..15469,y=7687..22211,z=75281..81736
on x=-7531..16190,y=-94165..-72295,z=812..21474
off x=14033..34929,y=48020..62471,z=-61990..-33155
off x=-32771..-18347,y=-87370..-54996,z=-8278..17398
on x=49741..76971,y=-21464..4277,z=20093..59570
off x=13351..22257,y=-37740..-15209,z=57064..86969
off x=50032..78969,y=25582..48291,z=34408..50442
on x=-13780..-1917,y=-84446..-59726,z=3459..39939
off x=39988..63421,y=50850..63149,z=-10821..-2931
off x=43794..46974,y=7898..34704,z=49684..67737
off x=33082..60755,y=42161..77918,z=15575..34196
on x=10898..26561,y=-77997..-58136,z=-26923..-2375
on x=-29185..1110,y=-11349..4244,z=66176..85484
on x=37086..53121,y=-50355..-40872,z=43006..59912
off x=9300..23574,y=30513..41768,z=64206..75313
on x=-1264..29617,y=-1831..13377,z=-82644..-61908
on x=3238..25837,y=27838..51481,z=-76924..-60326
on x=10201..30106,y=65487..77748,z=-46475..-29431
off x=-47881..-22017,y=-32396..-22825,z=55178..78266
off x=26817..47235,y=-77862..-49830,z=-42598..-20738
on x=-51232..-27729,y=45171..55627,z=47491..53930
off x=28581..47595,y=-22135..-11652,z=46729..66163
off x=-10966..13791,y=-95303..-59940,z=-26274..-17680
off x=-84612..-55880,y=-55967..-42842,z=-6762..-2557
on x=8947..40786,y=-89808..-56808,z=-32249..-7625
off x=-34575..-5186,y=52068..74413,z=-62648..-39388
on x=70173..87227,y=17703..50145,z=-19002..9866
on x=45291..66718,y=-55324..-30317,z=16604..21029
off x=-52511..-33144,y=-84950..-64877,z=11895..42637
off x=-51331..-29202,y=30199..53736,z=55193..67741
off x=-35673..-4919,y=47400..62586,z=-71598..-47131
on x=52694..70642,y=40746..62789,z=-20026..9892
on x=-66627..-39614,y=-5564..17253,z=-56895..-39235
on x=-65517..-47850,y=-17501..-5423,z=-64830..-53306
off x=-22929..-8901,y=-74736..-49763,z=52265..53624
off x=50807..71374,y=30402..50155,z=-18757..934
on x=-78791..-66802,y=-19068..1615,z=12286..27010
off x=53693..69776,y=10619..44300,z=-51896..-45747
off x=-42091..-12561,y=-48283..-35046,z=-76350..-63371
off x=28971..56999,y=-2111..24808,z=46943..79938
on x=-74706..-44739,y=-60165..-39443,z=17091..36006
on x=-88366..-69585,y=25364..39518,z=23253..44240
on x=59886..72239,y=-31351..3522,z=-60522..-48667
off x=-67283..-52086,y=26058..50304,z=16272..31761
off x=-12197..7572,y=-92026..-70518,z=-27035..-14824
on x=31495..46149,y=-68415..-62094,z=-20361..-10744
off x=48658..61835,y=-60355..-38813,z=-35122..-14373
off x=55384..79709,y=-35550..-7163,z=-41531..-28310
on x=-81500..-58384,y=-49586..-30715,z=17630..37230
off x=31226..51253,y=-68086..-43918,z=17594..36064
on x=-70429..-41954,y=34776..58703,z=22711..37816
off x=45178..63607,y=30945..55370,z=34852..42147
on x=3188..30133,y=33993..58172,z=57689..81009
off x=68056..72816,y=10258..15570,z=28242..45604
on x=-33509..-30715,y=11587..29545,z=54816..74723
off x=-83054..-59446,y=6915..30723,z=27317..38300
on x=-5592..13733,y=26593..38687,z=72320..81469
off x=-45945..-27677,y=-63826..-52860,z=29888..50805
on x=28525..46231,y=-77569..-45000,z=-49462..-24892
off x=2457..24823,y=65635..90375,z=9560..19416
off x=30804..50951,y=54400..73102,z=-31695..-16134
off x=15610..36379,y=-42955..-17433,z=52925..70994
on x=-86102..-63894,y=-4739..18987,z=-16047..871
off x=55004..79606,y=29745..37828,z=2968..20418
on x=-38687..-26784,y=24180..56352,z=59573..70425
on x=-34268..-26942,y=-39296..-13106,z=-77745..-51533
off x=-72262..-53034,y=3249..25511,z=-54581..-26746
on x=24758..39906,y=26029..49374,z=-58868..-35918
on x=-20305..-16603,y=-28036..7894,z=-90257..-72601
on x=52608..77892,y=-41517..-21634,z=28713..57287
off x=23615..30820,y=66988..81110,z=4622..28515
off x=14463..35157,y=-71601..-48548,z=-58384..-52258
off x=-72150..-57103,y=16068..44412,z=-40833..-7427
off x=4451..12368,y=63887..86834,z=15874..26453
on x=5253..24816,y=-80195..-58610,z=15558..46998
off x=-89795..-74923,y=-34924..-11262,z=2065..30632
off x=36245..52875,y=5389..22675,z=45273..65247
off x=-27899..-5554,y=44524..71680,z=28231..58957
on x=31236..62487,y=-68318..-42485,z=1429..26741
on x=-15016..9616,y=58876..78821,z=-50898..-31480
off x=6626..15344,y=51766..69385,z=36411..62918
off x=-85867..-61325,y=-8937..22188,z=-44445..-21345
off x=12101..17125,y=56336..70240,z=26054..49177
on x=-31351..-7297,y=62303..79985,z=-42443..-31218
off x=37666..46217,y=-73856..-51920,z=9166..22142
on x=-7653..11619,y=70521..90738,z=7548..31052
off x=58576..84059,y=558..17087,z=-58373..-32423
off x=49661..74339,y=37757..46676,z=-14625..4424
off x=-53179..-37863,y=40790..53981,z=-50252..-29746
off x=-90850..-67550,y=26144..41131,z=5371..25191
off x=-61970..-57445,y=-65645..-46414,z=-41881..-24798
on x=-50216..-14050,y=-72546..-49534,z=36261..52744
off x=-60149..-43954,y=-1897..3133,z=-75166..-43661
off x=-65617..-50115,y=-54368..-23445,z=-32635..-13697
off x=38329..54347,y=-60236..-31429,z=-54533..-31168
on x=-39683..-10740,y=-23866..-17532,z=56862..84647
off x=-39233..-12027,y=-63953..-44766,z=31011..50197
off x=51731..65710,y=-12560..46,z=-63258..-39401
on x=-47796..-32677,y=29967..50440,z=62554..75324
on x=-25344..-783,y=65618..68846,z=34232..50311
on x=20272..48739,y=67151..70519,z=12793..33775
on x=-33706..-32219,y=41427..64082,z=30459..52828
on x=39615..48898,y=39491..51584,z=28996..56044
off x=-82783..-59384,y=-13535..3859,z=26894..53706
on x=38633..43259,y=-73025..-63535,z=-21301..-10664
on x=-17401..11923,y=-34320..-22883,z=60699..91976
on x=-42138..-25998,y=-49083..-20767,z=-66529..-43435
off x=9703..19518,y=58665..82030,z=35898..61603
off x=-82515..-65108,y=-37789..-30683,z=9370..29226
off x=63362..76204,y=-10852..23931,z=-31347..-21744
off x=54273..85519,y=27983..46478,z=-6383..4960
off x=-10837..12382,y=-96358..-73910,z=-1411..27180
on x=-47481..-46537,y=19865..58417,z=-62163..-45267
on x=46839..66877,y=36886..44012,z=1724..25677
off x=41455..59473,y=-75136..-52280,z=28361..48583
off x=-55752..-37592,y=-71445..-50417,z=15513..31009
on x=-40414..-16526,y=-60922..-52590,z=24871..58530
on x=15792..23345,y=56997..92878,z=-38275..-14757
off x=62736..78927,y=-32671..-13860,z=-7140..8147
off x=55775..79353,y=-49823..-26907,z=-18511..-848
on x=-24670..-19631,y=43465..73745,z=42275..53103
off x=30096..58138,y=-68334..-45784,z=21253..39039
off x=-83264..-68473,y=11969..14377,z=26214..45958
off x=7332..33689,y=-65283..-36565,z=50636..58207
on x=20481..30525,y=-54253..-51384,z=41613..61596
on x=-56334..-25814,y=-8892..4079,z=58364..82833
on x=33040..39378,y=-53269..-38758,z=31981..68636
off x=29326..56973,y=54484..65047,z=3656..10556
on x=-67780..-57635,y=15425..39169,z=25660..52965
on x=-8179..21414,y=-41623..-23052,z=60155..78802
on x=18597..32857,y=44144..64407,z=37601..62366
on x=-2652..18251,y=-10163..2408,z=-91135..-65521
off x=-47081..-24706,y=28114..54039,z=34291..62825
on x=39204..53205,y=-69681..-56918,z=-17425..-4916
off x=-55107..-32732,y=18288..35658,z=54816..74203
on x=-77243..-64094,y=-45885..-37827,z=-23468..1884
on x=-39828..-19414,y=-32689..-27350,z=61108..75476
off x=-37733..-20591,y=26369..56364,z=-58057..-38534
on x=63272..94477,y=-5600..7195,z=-10538..570
on x=-128..22295,y=-81689..-76587,z=4290..19545
on x=-9625..15521,y=-25058..-11968,z=58067..97608
on x=55642..68382,y=-22749..682,z=-49442..-38520
off x=-41926..-25246,y=65640..75634,z=4759..18327
on x=12392..40603,y=-6432..8182,z=-80632..-72280
off x=17271..33879,y=-75758..-60136,z=14201..47625
off x=-83258..-48366,y=-23933..-6706,z=-62364..-28042
on x=-19353..3189,y=58906..73394,z=15895..37116
off x=28542..44431,y=12182..26408,z=61088..78807
on x=-19648..1359,y=61419..69270,z=-51117..-41653
on x=-25235..-8190,y=73490..98839,z=-2680..943
off x=-60860..-37570,y=-3316..14939,z=-75697..-63167
on x=-16156..13522,y=-45989..-14062,z=-73692..-71310
off x=-22684..4397,y=-49573..-34444,z=61576..68328
off x=-43553..-20674,y=-76223..-56079,z=-58360..-33988
off x=69663..89183,y=-990..30818,z=15600..41399
on x=37093..61968,y=36822..60937,z=22650..59571
on x=-58417..-20200,y=38285..58071,z=35255..55402
off x=51697..66101,y=-44201..-11467,z=33561..56374
off x=-24190..1858,y=-15639..4734,z=57663..90496
off x=-52072..-31258,y=65310..74407,z=-36487..-1271
on x=51233..62892,y=35660..57936,z=6826..24547
on x=12471..32780,y=-5902..11022,z=-88704..-58572
off x=36982..53859,y=-72886..-47330,z=11912..33359
off x=-61296..-42750,y=-26983..-5378,z=55961..73314
off x=33279..45981,y=-82826..-50371,z=12462..20050
off x=46096..74749,y=45207..72500,z=-36767..-7651
off x=-39785..-9908,y=-70014..-50173,z=-58495..-20794
off x=21102..28701,y=-65820..-42330,z=30985..69269
on x=33576..48724,y=-31260..-12186,z=-75566..-46019
off x=43325..66519,y=-60708..-36823,z=-54384..-32330
off x=72390..92217,y=-11255..19475,z=21818..35508
on x=27341..40606,y=29154..65657,z=52597..75340
